Vehicle Type,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
Taxi,3819,VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,"LINCOLNSHIRE SERVICE II, CORP.",3801 N. ELSTON AVE.,CHICAGO,IL,60618,EXPIRED AFFILIATION,Owner Manager,3819Taxi
Taxi,6441,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,LIVERPOOL TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,6441Taxi
Livery,8265,ACTIVE,GMC,YUKON XL,2020,BLACK,Gasoline,N,BLACK URBAN INC.,5723 N. MILWAUKEE AVE.,CHICAGO,IL,60646,,,8265Livery
Livery,8480,ACTIVE,LINCOLN,MKT,2019,BLACK,Gasoline,N,SOUTHWEST CHIEF LTD,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,8480Livery
Taxi,112,ACTIVE,TOYOTA,SIENNA,2018,BLUE/WHITE,Gasoline,Y,MCCAB XIV CORP.,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",112Taxi
Taxi,1020,ACTIVE,TOYOTA,CAMRY,2016,YELLOW,Hybrid,N,H PATRICK INC,2310 W. GRANVILLE AVE.,CHICAGO,IL,60659,Yellow Cab Association,Owner-Operator,1020Taxi
Livery,7190,ACTIVE,CHEVROLET,SUBURBAN,2019,BLACK,Gasoline,N,NESIM UNAT,5329 N. DELPHIA AVE.,CHICAGO,IL,60656,,,7190Livery
Livery,8947,ACTIVE,GMC,YUKON,2022,BLACK,Gasoline,N,XIN ZHANG,3014 S. EMERALD AVE.,CHICAGO,IL,60616,,,8947Livery
Taxi,4217,VIOLATION,DODGE,CARAVAN,2016,WHITE,Gasoline,N,CHICAGO JACAL HACKING II CORP,9696 W. FOSTER AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,4217Taxi
Taxi,1067,VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,LMN 5TH AVENUE CORP.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,1067Taxi
Taxi,2687,SURRENDER,TOYOTA,COROLLA,2016,WHITE,Gasoline,N,LUCKY 7 CAB COMPANY,1834 N. DAMEN AVE.,CHICAGO,IL,60647,Flash Cab Co,Chicago Taxicab Management Inc.,2687Taxi
Taxi,3769,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHARAFI TRANS INC,4315 N. KEYSTONE AVE.,CHICAGO,IL,60641,Independent1,Owner-Operator,3769Taxi
Ambulance,5547,INACTIVE,FORD,VAN,2001,,Gasoline,N,"BLACKHAWK MEDICAL TRANSPORTATION, INC",8400 W. 183RD ST.,TINLEY PARK,IL,60477,,,5547Ambulance
Taxi,1077,ACTIVE,TOYOTA,RAV4,2018,BLUE/WHITE,Gasoline,N,YAMEN22 INC,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,Owner-Operator,1077Taxi
Taxi,4596,ACTIVE,TOYOTA,CAMRY,2019,YELLOW,Hybrid,N,SEJAS INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,Yellow Cab Association,Owner Manager,4596Taxi
Taxi,4147,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,DEEP DISH TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,4147Taxi
Taxi,965,VIOLATION,FORD,C-MAX,2013,WHITE,Hybrid,N,PINEAPPLE TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,965Taxi
Ambulance,721508,ACTIVE,FORD,TRANSIT,2019,YELLOW,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,721508Ambulance
Ambulance,721509,ACTIVE,FORD,TRANSIT,2019,YELLOW,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,721509Ambulance
Taxi,3247,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,Z L R CORP,2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Medallion Management Corp.,3247Taxi
Livery,7383,ACTIVE,LINCOLN,NAVIGATOR,2019,BLACK,Gasoline,N,RZA CORPORATION INC,2500 W. BIRCHWOOD AVE.,CHICAGO,IL,60645,,,7383Livery
Livery,8674,ACTIVE,GMC,YUKON XL,2023,BLACK,Gasoline,N,YNF LIMOUSINES INC.,4735 N. PULASKI RD.,CHICAGO,IL,60630,,,8674Livery
Livery,9279,ACTIVE,CADILLAC,ESCALADE ESV,2016,BLACK,Gasoline,N,TWO JATTS LIMITED,4116 W. BELMONT AVE.,CHICAGO,IL,60641,,,9279Livery
Taxi,3944,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,N,AYAAN ONE INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,3944Taxi
Taxi,4867,REVOKED,TOYOTA,PRIUS,2015,WHITE,Hybrid,N,EMPIRE TAXI INCORPORATED,2738 W. FULTON ST.,CHICAGO,IL,60612,EXPIRED AFFILIATION,Owner Manager,4867Taxi
Taxi,5919,VIOLATION,NISSAN,ALTIMA,2011,GRAY/WHITE,Hybrid,N,KOWSAR TAXI CORP,6550 N. CLARK ST.,CHICAGO,IL,60626,Choice Taxi Association Inc,Owner Manager,5919Taxi
Livery,9591,ACTIVE,CADILLAC,ESCALADE,2022,BLACK,Gasoline,N,MAX LIMOUSINE INC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,9591Livery
Charter Sightseeing,17550,INACTIVE,FREIGHTLINER,G40M2,2016,WHITE,Gasoline,N,SIGNATURE TRANSPORTATION GROUP LLC,7958 W. CATHERINE AVE.,CHICAGO,IL,60656,,,17550Charter Sightseeing
Taxi,6317,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,TRANS T INC,840 W. SUNNYSIDE AVE.,CHICAGO,IL,60640,Independent1,Owner-Operator,6317Taxi
Medicar,13395,RESERVED,TOYOTA,SIENNA,2011,GRAY,Gasoline,N,ILLINOIS MEDI-CAR INC,395  LAKE ST.,ELMHURST,IL,60126,,,13395Medicar
Taxi,6520,ACTIVE,TOYOTA,SIENNA,2020,WHITE,Gasoline,Y,S K OHAMS LLC,2532 W. WARREN BLVD.,CHICAGO,IL,60612,Independent1,Owner-Operator,6520Taxi
Taxi,5945,VIOLATION,TOYOTA,PRIUS,2014,WHITE,Hybrid,N,9TH AVENUE TAXI CORP.,9696 W. FOSTER AVE.,CHICAGO,IL,60656,EXPIRED AFFILIATION,Owner Manager,5945Taxi
Livery,7256,ACTIVE,LINCOLN,NAVIGATOR,2022,BLACK,Gasoline,N,WENCESLAS NOUKOUDJO,5021 N. MCVICKER AVE.,CHICAGO,IL,60630,,,7256Livery
Charter Sightseeing,17700,INACTIVE,FREIGHTLINER,G40M2,2016,WHITE,Gasoline,N,SIGNATURE TRANSPORTATION GROUP LLC,7958 W. CATHERINE AVE.,CHICAGO,IL,60656,,,17700Charter Sightseeing
Taxi,129,ACTIVE,FORD,FUSION,2015,YELLOW,Hybrid,N,MR TAXI 2 INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,Yellow Cab Association,Owner Manager,129Taxi
Charter Sightseeing,17701,INACTIVE,MERCEDES,SPRINTER,2016,BLACK,Gasoline,N,SIGNATURE TRANSPORTATION GROUP LLC,7958 W. CATHERINE AVE.,CHICAGO,IL,60656,,,17701Charter Sightseeing
Livery,8768,ACTIVE,CHEVROLET,SUBURBAN,2022,BLACK,Gasoline,N,MODERN CHAUFFEUR INC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,8768Livery
Taxi,6163,ACTIVE,TOYOTA,CAMRY,2014,BLUE/WHITE,Hybrid,N,ALEKSANDER WISNIEWSKI,3718 W. BELMONT AVE.,CHICAGO,IL,60618,Sun Taxi Association Inc,Owner-Operator,6163Taxi
Livery,8097,ACTIVE,LINCOLN,NAVIGATOR,2022,BLACK,Gasoline,N,PATRICK J WOULFE,5963 N. NORTHWEST HWY.,CHICAGO,IL,60631,,,8097Livery
Livery,8577,ACTIVE,LINCOLN,CONTINENTAL,2018,BLACK,Gasoline,N,SURREY LIMO INC.,6204 N. AVERS AVE.,CHICAGO,IL,60659,,,8577Livery
Taxi,6645,VIOLATION,TOYOTA,CAMRY,2016,WHITE,Hybrid,N,SLOBOMIR KAPUR CORP,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner Manager,6645Taxi
Medicar,6657,INACTIVE,FORD,E150,2008,WHITE,Gasoline,N,"MIDWEST MEDICAL SERVICE, INC.",5567 N. ELSTON AVE.,CHICAGO,IL,60630,,,6657Medicar
Taxi,2770,VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,"DENNA TRANS, INC.",3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,2770Taxi
Taxi,1161,ACTIVE,TOYOTA,CAMRY,2013,WHITE/BLUE/STRIPES,Hybrid,N,BELLO CAB INC,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,Owner-Operator,1161Taxi
Taxi,2844,VIOLATION,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,JKC TAXI CORP.,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",2844Taxi
Taxi,1265,VIOLATION,FORD,C-MAX,2013,WHITE,Hybrid,N,LETTUCE TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,1265Taxi
Ambulance,5496,INACTIVE,FORD,E350,2005,,Gasoline,N,"MIDWEST MEDICAL SERVICE, INC.",5567 N. ELSTON AVE.,CHICAGO,IL,60630,,,5496Ambulance
Taxi,3135,VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,REX CAB COMPANY,8001 S. DR MARTIN LUTHER KING JR DR.,CHICAGO,IL,60619,EXPIRED AFFILIATION,Owner Manager,3135Taxi
Taxi,2790,VIOLATION,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,RANGI CAB CO,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,2790Taxi
Taxi,3581,ACTIVE,TOYOTA,PRIUS,2014,WHITE,Hybrid,N,TITO'S TAXI CO,8001 S. DR MARTIN LUTHER KING JR DR.,CHICAGO,IL,60619,Globe Taxi Association Inc,Chicago Taxicab Management Inc.,3581Taxi
Taxi,2339,SURRENDER,TOYOTA,CAMRY,2014,WHITE/RED/STRIPES,Hybrid,N,ASSETS INVESTMENT INC,3302 W. GLENLAKE AVE.,CHICAGO,IL,60659,Independent2,Owner-Operator,2339Taxi
Taxi,1412,ACTIVE,TOYOTA,PRIUS,2014,WHITE/BLUE/STRIPES,Hybrid,N,GSJ TAXI CO.,4020 W. GLENLAKE ST.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",1412Taxi
Charter Sightseeing,14816,INACTIVE,INTL,C-MAX,2012,WHITE,Gasoline,N,METRO LIMOUSINE INC,8535 W. HIGGINS RD.,CHICAGO,IL,60631,,,14816Charter Sightseeing
Taxi,6127,VIOLATION,TOYOTA,CAMRY,2014,BLUE,Hybrid,N,SILUR HACKING CORP.,5416 N. BROADWAY ST.,CHICAGO,IL,60640,24 Seven Taxi Affiliaton,Owner Manager,6127Taxi
Taxi,1603,VIOLATION,TOYOTA,VENZA,2013,GOLD,Gasoline,N,RYAN CAB CO,4640 N. SHERIDAN RD.,CHICAGO,IL,60640,INDEPENDENT4,Owner-Operator,1603Taxi
Taxi,390,VIOLATION,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,MOTHERS PRIDE INC.,2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Owner Manager,390Taxi
Livery,9155,ACTIVE,CHEVROLET,SUBURBAN,2018,BLACK,Gasoline,N,DANAYAL LIMOUSINE INC.,3530 W. PETERSON AVE.,CHICAGO,IL,60659,,,9155Livery
Taxi,6571,VIOLATION,FORD,ESCAPE,2011,WHITE,Compressed Natural Gas,N,NADIA CHICAGO INC.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,6571Taxi
Taxi,6152,VIOLATION,FORD,ESCAPE,2012,WHITE,Hybrid,N,NIZZIN CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,DIS-AFFILIATED,Owner Manager,6152Taxi
Livery,9267,ACTIVE,LINCOLN,NAVIGATOR,2021,BLACK,Gasoline,N,PRIORITY CHICAGO LIMOUSINE INC.,4508 S. KNOX AVE.,CHICAGO,IL,60632,,,9267Livery
Taxi,3827,ACTIVE,TOYOTA,SIENNA,2020,WHITE/RED STRIPES,Gasoline,Y,RESURRECTION TAXI INC,2532 W. WARREN BLVD.,CHICAGO,IL,60612,Independent1,Owner Manager,3827Taxi
Taxi,3971,VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,"MUNAIZ, INC",9696 W. FOSTER AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,3971Taxi
Charter Sightseeing,17703,INACTIVE,FREIGHTLINER,G40M2,2016,WHITE,Gasoline,N,SIGNATURE TRANSPORTATION GROUP LLC,7958 W. CATHERINE AVE.,CHICAGO,IL,60656,,,17703Charter Sightseeing
Livery,9869,ACTIVE,CHEVROLET,SUBURBAN,2019,BLACK,Gasoline,N,"AR LIMOUSINE SERVICE, INC.",5905 S. KEDZIE AVE.,CHICAGO,IL,60629,,,9869Livery
Taxi,6233,VIOLATION,FORD,ESCAPE,2012,WHITE,Hybrid,N,CHICAGO SEVEN INC,2617 S. WABASH AVE.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,6233Taxi
Livery,9860,ACTIVE,FORD,EXPEDITION,2021,BLACK,Gasoline,N,TRANSPORT LIMOUSINE SERVICE INC,6125 N. NW HWY.,CHICAGO,IL,60631,,,9860Livery
Livery,8546,ACTIVE,LINCOLN,NAVIGATOR,2019,BLACK,Gasoline,N,STRONG TRANSPORTATION INC,605 N. MICHIGAN AVE.,CHICAGO,IL,60611,,,8546Livery
Livery,7095,ACTIVE,FORD,EXPEDITION,2021,BLACK,Gasoline,N,CASUAL LIMOUSINE INC,8711 W. BRYN MAWR AVE.,CHICAGO,IL,60631,,,7095Livery
Livery,9067,ACTIVE,TESLA,Y,2021,BLACK,Electric,N,RIZ LIMO TRANSPORTATION CO.,3760 N. OKETO AVE.,CHICAGO,IL,60634,,,9067Livery
Medicar,5903,INACTIVE,FORD,E350,2006,,Gasoline,N,SUPREME MEDICAR INC,7238 N. ROGERS AVE.,CHICAGO,IL,60645,,,5903Medicar
Livery,7750,INACTIVE,CADILLAC,XTS,2018,BLACK,Gasoline,N,ZHULLY LIMO INC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,7750Livery
Taxi,3164,VIOLATION,NISSAN,ALTIMA,2011,BLUE,Hybrid,N,ST. PETERSBURG TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,NORTHSTAR AFFILIATION,Star North Management LLC,3164Taxi
Taxi,4207,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,NORTOWN EXPRESS INC.,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",4207Taxi
Taxi,6851,INACTIVE,,,,,Gasoline,N,CITY OF CHICAGO BACP,2350 W. OGDEN AVE.,CHICAGO,IL,60608,,,6851Taxi
Taxi,5618,VIOLATION,TOYOTA,PRIUS,2015,WHITE,Hybrid,N,NADER CAB CO,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,5618Taxi
Medicar,8428,INACTIVE,FORD,T150,2015,WHITE,Gasoline,N,ELITE MEDICAL TRANSPORTATION LLC,11551  184TH PL.,ORLAND PARK,IL,60467,,,8428Medicar
Taxi,1732,ACTIVE,TOYOTA,RAV4,2020,RED,Hybrid,N,CHINEDU CAB SERVICES LLC,2532 W. WARREN BLVD.,CHICAGO,IL,60612,Independent1,Owner-Operator,1732Taxi
Taxi,556,ACTIVE,TOYOTA,SIENNA,2018,BLUE/WHITE,Gasoline,Y,MCCAB XIV CORP.,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",556Taxi
Ambulance,5493,INACTIVE,FORD,E350,2013,WHITE,Gasoline,N,"BLACKHAWK MEDICAL TRANSPORTATION, INC",8400 W. 183RD ST.,TINLEY PARK,IL,60477,,,5493Ambulance
Taxi,2708,VIOLATION,TOYOTA,CAMRY,2010,WHITE/BLUE,Hybrid,N,ARYA RIDE INC.,5136 N. WESTERN AVE.,CHICAGO,IL,60625,Peace Taxi Assoc Inc,Owner Manager,2708Taxi
Charter Sightseeing,13462,INACTIVE,FORD,E350,2011,BLACK,Gasoline,N,CLASS ACT LIMOUSINE LTD,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,13462Charter Sightseeing
Taxi,845,VIOLATION,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,AIR CHICAGO EXPRESS INC.,9696 W. FOSTER AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,845Taxi
Charter Sightseeing,18766,INACTIVE,FREIGHLINE,S2 106,2011,BLACK,Gasoline,N,ELITE CHICAGO LIMO INC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,18766Charter Sightseeing
Livery,9322,ACTIVE,LINCOLN,NAVIGATOR,2018,BLACK,Gasoline,N,DANAYAL LIMOUSINE INC.,3530 W. PETERSON AVE.,CHICAGO,IL,60659,,,9322Livery
Taxi,4618,VIOLATION,DODGE,CARAVAN,2016,WHITE,Gasoline,Y,CHICAGO MEDALLION FOUR LLC.,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner Manager,4618Taxi
Livery,7138,ACTIVE,FORD,EXPEDITION,2020,BLACK,Gasoline,N,RENE SUAREZ MORALES,5440 S. KILDARE AVE.,CHICAGO,IL,60632,,,7138Livery
Ambulance,5486,ACTIVE,FORD,E350,2014,WHITE/BLUE,Gasoline,N,AMBULANCE TRANSPORTATION INC,8400 W. 183RD PL.,TINLEY PARK,IL,60487,,,5486Ambulance
Charter Sightseeing,13566,INACTIVE,FORD,350,2015,BLACK,Gasoline,N,JKS LIMOUSINES LLC.,120 W. MADISON ST.,CHICAGO,IL,60602,,,13566Charter Sightseeing
Taxi,3609,VIOLATION,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,K.M.J. TAXI CO.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,3609Taxi
Taxi,6198,VIOLATION,TOYOTA,PRIUS,2012,BLUE,Hybrid,N,DAHLAK CORP,5416 N. BROADWAY ST.,CHICAGO,IL,60640,24 Seven Taxi Affiliaton,Owner Manager,6198Taxi
Taxi,875,VIOLATION,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,AL-KARIM TRANSPORATION INC.,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner Manager,875Taxi
Livery,8790,ACTIVE,CADILLAC,ESCALADE ESV,2022,BLACK,Gasoline,N,GLOBAX LIMO INC,2255 W. MELROSE ST.,CHICAGO,IL,60618,,,8790Livery
Taxi,6809,VIOLATION,HONDA,CRV,2013,WHITE,Gasoline,N,M BOAHENE INCORPORATED,4542 N. BROADWAY ST.,CHICAGO,IL,60640,DIS-AFFILIATED,Owner-Operator,6809Taxi
Charter Sightseeing,21382,INACTIVE,MERCEDES,SPRINTER,2015,BLACK,Gasoline,N,SIGNATURE LIMOUSINE SERVICES CORP,6401 W. BERTEAU AVE.,CHICAGO,IL,60634,,,21382Charter Sightseeing
Taxi,2748,ACTIVE,TOYOTA,PRIUS,2013,WHITE/BLUE/STRIPES,Hybrid,N,GRAND CAB COMPANY,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",2748Taxi
Taxi,3464,ACTIVE,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,IDRIS TRANSPORTATION INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,Yellow Cab Association,Owner-Operator,3464Taxi
Livery,9852,ACTIVE,LINCOLN,NAVIGATOR L,2019,BLACK,Gasoline,N,AL NACO LIMO INC.,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,9852Livery
Taxi,6514,SURRENDER,TOYOTA,RAV4,2017,WHITE,Hybrid,N,CARZAAR CO.,9696 W. FOSTER AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner-Operator,6514Taxi
Livery,9605,ACTIVE,CHEVROLET,SUBURBAN,2017,BLACK,Gasoline,N,EXECUTIVE SECURE TRANSPORTATION INC,8517 W. WINNEMAC AVE.,CHICAGO,IL,60656,,,9605Livery
Taxi,165,ACTIVE,FORD,ESCAPE,2012,WHITE,Hybrid,N,GULED LLC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,165Taxi
Livery,8419,ACTIVE,CHEVROLET,SUBURBAN,2019,BLACK,Gasoline,N,STARW CORPORATION,3263 W. FULLERTON AVE.,CHICAGO,IL,60647,,,8419Livery
Medicar,13978,INACTIVE,DODGE,CARAVAN,2010,BLUE,Gasoline,N,LOVING TRANSPORTATION INC,1502 W. 72ND ST.,CHICAGO,IL,60636,,,13978Medicar
Ambulance,5389,INACTIVE,FORD,VAN,2001,WHITE/YELLOW,Gasoline,N,"BLACKHAWK MEDICAL TRANSPORTATION, INC",8400 W. 183RD ST.,TINLEY PARK,IL,60477,,,5389Ambulance
Livery,9954,ACTIVE,LINCOLN,MKT,2019,BLACK,Gasoline,N,CHICAGO EMPIRE LIMOUSINE INC,5840 N. SHERIDAN RD.,CHICAGO,IL,60660,,,9954Livery
Taxi,1355,VIOLATION,DODGE,GRAND CARAVAN,2014,WHITE,Flex Fuel,N,CHICAGO MEDALLION EIGHT LLC.,2738 W. FULTON ST.,CHICAGO,IL,60612,EXPIRED AFFILIATION,Owner Manager,1355Taxi
Taxi,4761,ACTIVE,TOYOTA,RAV4,2022,WHITE,Hybrid,N,"GARDEN CITY, INC.",2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Owner-Operator,4761Taxi
Taxi,5439,ACTIVE,TOYOTA,CAMRY,2016,BLUE/WHITE,Hybrid,N,TEEMU CORPORATION,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",5439Taxi
Livery,8481,ACTIVE,LINCOLN,MKT,2018,BLACK,Gasoline,N,SOUTHWEST CHIEF LTD,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,8481Livery
Taxi,5296,VIOLATION,FORD,FUSION,2016,WHITE,Hybrid,N,CHICAGO SHUTTLE CORP.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,5296Taxi
Taxi,1148,ACTIVE,TOYOTA,RAV4,2019,RED,Gasoline,N,KAMALUXE INC.,2532 W. WARREN BLVD.,CHICAGO,IL,60612,INDEPENDENT4,Owner-Operator,1148Taxi
Livery,7513,ACTIVE,CHEVROLET,SUBURBAN,2018,BLACK,Gasoline,N,CONTINENTAL CONSTRUCTION GROUP INC,5064 N. LINCOLN AVE.,CHICAGO,IL,60625,,,7513Livery
Taxi,3065,ACTIVE,TOYOTA,PRIUS,2011,BLUE/WHITE,Hybrid,N,JIWANI CAB CO,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Koam Taxi Association,Owner-Operator,3065Taxi
Medicar,8451,INACTIVE,FORD,E150,2012,WHITE,Gasoline,N,"SCR MEDICAL TRANSPORTATION, INC.",8801 S. GREENWOOD AVE.,CHICAGO,IL,60619,,,8451Medicar
Taxi,2808,SURRENDER,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,SAFE TAXI COMPANY,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,Yellow Cab Association,Owner Manager,2808Taxi
Livery,8163,ACTIVE,FORD,EXPEDITION,2022,BLACK,Gasoline,N,D M LIMO INC.,380 E. 71ST ST.,CHICAGO,IL,60619,,,8163Livery
Taxi,6065,ACTIVE,TOYOTA,PRIUS,2014,WHITE/BLUE/STRIPES,Hybrid,N,ADDISETH INC,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,Owner-Operator,6065Taxi
Livery,7382,ACTIVE,LINCOLN,NAVIGATOR,2020,BLACK,Gasoline,N,JD CHICAGO LIMO SERVICE CORP,5540 N. CALIFORNIA AVE.,CHICAGO,IL,60625,,,7382Livery
Medicar,8452,INACTIVE,FORD,E150,2012,WHITE,Gasoline,N,"SCR MEDICAL TRANSPORTATION, INC.",8801 S. GREENWOOD AVE.,CHICAGO,IL,60619,,,8452Medicar
Taxi,6972,INACTIVE,,,,,Gasoline,N,CITY OF CHICAGO BACP,2350 W. OGDEN AVE.,CHICAGO,IL,60608,,,6972Taxi
Horse Drawn Carriage,60,INACTIVE,MARTIN,VIS-A-VIS,,,Horse,N,"STEP-IN-TIME CARRIAGE, LTD",1541 N. WELLS ST.,CHICAGO,IL,60610,,,60Horse Drawn Carriage
Ambulance,895563,VIOLATION,FORD,350,2014,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,895563Ambulance
Taxi,1498,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,N,SAFARI TAXI INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,1498Taxi
Taxi,216,VIOLATION,FORD,ESCAPE,2012,WHITE,Hybrid,N,"PRETTY RACHEL IN CHICAGO, INC.",2617 S. WABASH AVE.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,216Taxi
Taxi,662,VIOLATION,TOYOTA,SIENNA,2015,GRAY/WHITE,Gasoline,N,DEBANA CAB CO.,6550 N. CLARK ST.,CHICAGO,IL,60626,Choice Taxi Association Inc,Owner Manager,662Taxi
Taxi,2803,VIOLATION,FORD,C-MAX,2013,BLUE,Hybrid,N,MADISON CAB CORP.,4536 N. ELSTON AVE.,CHICAGO,IL,60630,NORTHSTAR AFFILIATION,Star North Management LLC,2803Taxi
Taxi,664,VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,MEDALLION FUNDING CHICAGO CORP I,2945 W. PETERSON AVE.,CHICAGO,IL,60659,Top Cab Association,Top Cab Corp.,664Taxi
Charter Sightseeing,9903,INACTIVE,FORD,E450,2007,BLACK,Gasoline,N,JKS LIMOUSINES LLC.,120 W. MADISON ST.,CHICAGO,IL,60602,,,9903Charter Sightseeing
Livery,9141,ACTIVE,CADILLAC,ESCALADE ESV,2020,BLACK,Gasoline,N,VLAD V COSTACHE,6007 N. SHERIDAN RD.,CHICAGO,IL,60660,,,9141Livery
